chromosome,start,end,CBR110-15-R3a_log2,CBR110-15-R3a_fold_change,Carmaphycin-R9-2_log2,Carmaphycin-R9-2_fold_change,Doxorubicin16-R2b_log2,Doxorubicin16-R2b_fold_change,NODRUG-GM2_log2,NODRUG-GM2_fold_change
IV,315397,320404,-0.0737,0.950,-0.0475,0.968,-0.0017,0.999,-0.0248,0.983
IV,320404,325410,-0.1930,0.875,-0.1378,0.909,-0.2690,0.830,-0.0292,0.980
IV,325410,330416,0.0180,1.013,-0.0741,0.950,0.0726,1.052,-0.0689,0.953
IV,330416,335423,-0.0811,0.945,-0.1837,0.880,-0.0496,0.966,-0.0014,0.999
IV,335423,340429,-0.0332,0.977,-0.0702,0.952,0.0623,1.044,-0.0263,0.982
IV,340429,345435,0.0774,1.055,0.0553,1.039,0.0835,1.060,-0.0281,0.981
IV,345435,350442,-0.3572,0.781,-0.2832,0.822,-0.1814,0.882,0.0501,1.035
IV,350442,355448,0.0316,1.022,-0.0064,0.996,-0.0007,1.000,-0.0212,0.985
IV,355448,360454,-0.0175,0.988,-0.0534,0.964,-0.0067,0.995,0.0743,1.053
IV,360454,365461,-0.0565,0.962,-0.1549,0.898,-0.0425,0.971,-0.0531,0.964
IV,365461,370467,-0.1151,0.923,-0.1162,0.923,-0.0101,0.993,-0.0591,0.960
IV,370467,375473,-0.0527,0.964,-0.0676,0.954,0.0018,1.001,-0.0246,0.983
IV,375473,380480,-0.2952,0.815,-0.2111,0.864,-0.1845,0.880,0.0607,1.043
IV,380480,385486,0.2605,1.198,0.1516,1.111,0.3215,1.250,0.0925,1.066
IV,385486,390492,-0.2741,0.827,-0.2255,0.855,-0.1979,0.872,0.0483,1.034
IV,390492,395499,-0.0904,0.939,-0.0960,0.936,-0.0777,0.948,-0.0486,0.967
IV,395499,400505,-0.1909,0.876,-0.1889,0.877,-0.1458,0.904,0.0912,1.065
IV,400505,405511,-0.2272,0.854,-0.1220,0.919,-0.1498,0.901,-0.0155,0.989
IV,405511,410517,0.1651,1.121,0.1011,1.073,0.1099,1.079,0.0619,1.044
IV,410517,415524,-0.1528,0.899,-0.1928,0.875,-0.1733,0.887,0.0000,1.000
IV,415524,420530,0.0630,1.045,0.0570,1.040,0.1056,1.076,0.0472,1.033
IV,420530,425536,0.0356,1.025,-0.0442,0.970,-0.0007,1.000,0.0149,1.010
IV,425536,430543,-0.0121,0.992,-0.0543,0.963,0.0123,1.009,-0.0217,0.985
IV,430543,435549,0.0015,1.001,-0.0304,0.979,-0.1021,0.932,-0.0043,0.997
IV,435549,440555,0.0977,1.070,0.0233,1.016,0.0339,1.024,-0.0184,0.987
IV,440555,445562,-0.0620,0.958,-0.1047,0.930,-0.1309,0.913,-0.0494,0.966
IV,445562,450568,0.0300,1.021,-0.0392,0.973,-0.0175,0.988,-0.0146,0.990
IV,450568,455574,-0.1578,0.896,-0.1141,0.924,-0.1087,0.927,0.0015,1.001
IV,455574,460581,0.0106,1.007,-0.0184,0.987,0.0916,1.066,0.0460,1.032
IV,460581,465587,0.0066,1.005,0.0564,1.040,0.0283,1.020,-0.0520,0.965
IV,465587,470593,-3.5134,0.088,-3.4769,0.090,-3.7676,0.073,-3.4682,0.090
IV,470593,475600,-0.1564,0.897,-0.1877,0.878,-0.1187,0.921,0.0660,1.047
IV,475600,480606,0.0742,1.053,0.0108,1.008,0.0833,1.059,-0.0262,0.982
IV,480606,485612,0.0493,1.035,-0.0245,0.983,0.0427,1.030,-0.0015,0.999
IV,485612,490619,0.0876,1.063,-0.0086,0.994,0.0919,1.066,0.0229,1.016
IV,490619,495625,-0.0082,0.994,-0.0782,0.947,0.0470,1.033,-0.0228,0.984
IV,495625,500631,0.0342,1.024,0.0304,1.021,0.0439,1.031,-0.0056,0.996
IV,500631,505638,0.0610,1.043,-0.0623,0.958,-0.1664,0.891,0.0346,1.024
IV,505638,510644,-0.2785,0.824,-0.3840,0.766,-0.3228,0.800,-0.0297,0.980
IV,510644,515650,0.4023,1.322,0.1885,1.140,0.2924,1.225,0.0235,1.016
IV,515650,520656,0.4088,1.328,0.2827,1.216,0.2306,1.173,-0.0985,0.934
IV,520656,525663,-0.2580,0.836,-0.1775,0.884,-0.2495,0.841,0.0439,1.031
IV,525663,530669,0.0905,1.065,-0.0215,0.985,0.0828,1.059,-0.0996,0.933
IV,530669,535675,-0.0080,0.994,-0.0259,0.982,0.0456,1.032,-0.0767,0.948
IV,535675,540682,0.1306,1.095,0.0575,1.041,0.2224,1.167,0.0223,1.016
IV,540682,545688,-0.1882,0.878,-0.0860,0.942,-0.1287,0.915,-0.0780,0.947
IV,545688,550694,0.0030,1.002,-0.1254,0.917,-0.0268,0.982,-0.0111,0.992
IV,550694,555701,-0.1856,0.879,-0.2251,0.856,-0.2476,0.842,-0.0746,0.950
IV,555701,560707,-0.0121,0.992,-0.0902,0.939,0.0126,1.009,0.0688,1.049
IV,560707,565713,0.0222,1.016,-0.1081,0.928,-0.0085,0.994,0.0006,1.000
IV,565713,570720,-0.0018,0.999,-0.0118,0.992,-0.0427,0.971,0.0036,1.002
IV,570720,575726,-0.1341,0.911,-0.1594,0.895,-0.0971,0.935,0.0010,1.001
IV,575726,580732,-0.0078,0.995,-0.1626,0.893,-0.0962,0.935,0.0162,1.011
IV,580732,585739,0.0048,1.003,-0.0926,0.938,-0.1299,0.914,0.0481,1.034
IV,585739,590745,0.2035,1.151,0.0290,1.020,0.0137,1.010,-0.0609,0.959
IV,590745,595751,-0.0270,0.981,-0.1239,0.918,-0.0938,0.937,0.0120,1.008
IV,595751,600758,-0.0454,0.969,-0.0740,0.950,-0.0826,0.944,0.0074,1.005
IV,600758,605764,0.2703,1.206,0.1377,1.100,0.1184,1.085,0.0506,1.036
IV,605764,610770,-0.0934,0.937,-0.1723,0.887,-0.1623,0.894,-0.0462,0.968
IV,610770,615776,-0.1195,0.921,-0.1859,0.879,-0.0349,0.976,-0.0581,0.961
IV,615776,620783,-0.0910,0.939,-0.0487,0.967,-0.1115,0.926,0.0015,1.001
IV,620783,625789,0.0905,1.065,0.0367,1.026,0.0365,1.026,-0.0170,0.988
IV,625789,630795,-0.1568,0.897,-0.1934,0.875,-0.1715,0.888,0.0161,1.011
IV,630795,635802,-0.0019,0.999,-0.0136,0.991,0.0104,1.007,0.0154,1.011
IV,635802,640808,-0.1408,0.907,-0.2647,0.832,-0.2229,0.857,-0.1456,0.904
IV,640808,645814,-0.0379,0.974,-0.0676,0.954,-0.0710,0.952,0.1312,1.095
IV,645814,650821,0.7315,1.660,0.6465,1.565,0.7368,1.666,0.3144,1.244
IV,650821,655827,-0.0081,0.994,-0.0387,0.974,-0.1210,0.920,0.0217,1.015
IV,655827,660833,0.0112,1.008,-0.0273,0.981,-0.0510,0.965,-0.0325,0.978
IV,660833,665840,0.0229,1.016,-0.0068,0.995,-0.0074,0.995,0.0579,1.041
IV,665840,670846,0.0160,1.011,-0.0035,0.998,-0.1192,0.921,-0.0149,0.990
IV,670846,675852,-0.0706,0.952,-0.0848,0.943,-0.0436,0.970,-0.0224,0.985
IV,675852,680859,0.0348,1.024,-0.0630,0.957,-0.0619,0.958,-0.1200,0.920
IV,680859,685865,-0.0279,0.981,-0.0573,0.961,-0.0548,0.963,-0.0244,0.983
IV,685865,690871,0.2029,1.151,0.1194,1.086,0.1533,1.112,-0.0414,0.972
IV,690871,695878,0.0178,1.012,0.0204,1.014,-0.0510,0.965,0.0187,1.013
IV,695878,700884,-0.0012,0.999,-0.0077,0.995,-0.0007,1.000,-0.0376,0.974
IV,700884,705890,0.1548,1.113,0.0959,1.069,0.0690,1.049,-0.0405,0.972
IV,705890,710897,0.1785,1.132,0.1032,1.074,0.1700,1.125,-0.0606,0.959
IV,710897,715903,-0.0331,0.977,-0.0118,0.992,-0.1280,0.915,-0.1380,0.909
IV,715903,720909,0.0398,1.028,-0.0133,0.991,-0.0011,0.999,0.0000,1.000
IV,720909,725915,-1.8989,0.268,-1.7945,0.288,-1.9812,0.253,-1.2996,0.406
IV,725915,730922,-0.6550,0.635,-0.6198,0.651,-0.6517,0.637,-0.5938,0.663
IV,730922,735928,-0.2393,0.847,-0.1724,0.887,-0.2173,0.860,-0.0456,0.969
IV,735928,740934,-0.0520,0.965,-0.0664,0.955,-0.1165,0.922,0.0077,1.005
IV,740934,745941,0.1370,1.100,-0.0244,0.983,0.0217,1.015,0.1106,1.080
IV,745941,750947,0.1118,1.081,-0.0587,0.960,0.0412,1.029,-0.0438,0.970
IV,750947,755953,-0.0646,0.956,-0.1289,0.915,-0.1087,0.927,-0.0567,0.961
IV,755953,760960,0.2593,1.197,0.0643,1.046,0.2398,1.181,-0.0586,0.960
IV,760960,765966,0.0946,1.068,-0.0220,0.985,0.0297,1.021,0.0000,1.000
IV,765966,770972,-0.2727,0.828,-0.2933,0.816,-0.2571,0.837,-0.0146,0.990
IV,770972,775979,0.0012,1.001,-0.0655,0.956,-0.1082,0.928,-0.0592,0.960
IV,775979,780985,0.1348,1.098,0.0795,1.057,0.0734,1.052,0.0148,1.010
IV,780985,785991,-0.0782,0.947,-0.0774,0.948,-0.0767,0.948,-0.0092,0.994
IV,785991,790998,0.0844,1.060,-0.0332,0.977,-0.0086,0.994,0.0544,1.038
IV,790998,796004,-0.1053,0.930,-0.1318,0.913,-0.0433,0.970,-0.0202,0.986
IV,796004,801010,0.0579,1.041,-0.1240,0.918,0.0890,1.064,0.0524,1.037
IV,801010,806017,0.2877,1.221,0.1379,1.100,0.2206,1.165,0.1127,1.081
IV,806017,811023,0.0638,1.045,-0.0035,0.998,0.0583,1.041,0.0311,1.022
IV,811023,816029,0.0292,1.020,-0.0731,0.951,-0.0149,0.990,-0.0157,0.989
IV,816029,821035,0.0895,1.064,0.0463,1.033,0.0679,1.048,0.0000,1.000
IV,821035,826042,-0.0289,0.980,-0.0072,0.995,0.0065,1.004,-0.0464,0.968
IV,826042,831048,0.0015,1.001,0.0705,1.050,-0.0020,0.999,0.0168,1.012
IV,831048,836054,-0.3697,0.774,-0.3281,0.797,-0.3064,0.809,-0.0500,0.966
IV,836054,841061,-0.0190,0.987,-0.0757,0.949,-0.0104,0.993,-0.1159,0.923
IV,841061,846067,-0.0969,0.935,-0.0978,0.934,-0.0943,0.937,-0.0728,0.951
IV,846067,851073,0.0440,1.031,0.0099,1.007,-0.0277,0.981,-0.0084,0.994
IV,851073,856080,-0.1226,0.919,-0.1892,0.877,-0.2189,0.859,0.0616,1.044
IV,856080,861086,0.0990,1.071,0.0078,1.005,0.0710,1.050,0.0000,1.000
IV,861086,866092,-0.2384,0.848,-0.2311,0.852,-0.1999,0.871,-0.0160,0.989
IV,866092,871099,-0.0651,0.956,-0.0447,0.970,-0.0038,0.997,-0.0204,0.986
IV,871099,876105,0.4261,1.344,0.3024,1.233,0.3321,1.259,0.0123,1.009
IV,876105,881111,0.6087,1.525,0.4655,1.381,0.4722,1.387,0.1393,1.101
IV,881111,886118,0.4746,1.390,0.4411,1.358,0.5365,1.450,0.1784,1.132
IV,886118,891124,-0.0307,0.979,-0.0403,0.972,0.0983,1.071,-0.1198,0.920
IV,891124,896130,-0.3105,0.806,-0.3042,0.810,-0.2769,0.825,-0.1062,0.929
IV,896130,901137,0.0629,1.045,-0.0021,0.999,0.0503,1.035,-0.0002,1.000
IV,901137,906143,-0.1605,0.895,-0.1379,0.909,-0.0722,0.951,0.0598,1.042
IV,906143,911149,0.1535,1.112,0.0223,1.016,0.1172,1.085,0.0284,1.020
IV,911149,916156,-0.1292,0.914,-0.2332,0.851,-0.1366,0.910,0.0573,1.040
IV,916156,921162,-0.4215,0.747,-0.3828,0.767,-0.3186,0.802,-0.0251,0.983
IV,921162,926168,-0.2666,0.831,-0.1580,0.896,-0.1418,0.906,-0.0661,0.955
IV,926168,931174,-0.1189,0.921,-0.1205,0.920,-0.0557,0.962,-0.0714,0.952
IV,931174,936181,0.0345,1.024,-0.0319,0.978,0.0528,1.037,-0.0407,0.972
IV,936181,941187,-0.0349,0.976,-0.1032,0.931,0.0133,1.009,-0.0113,0.992
IV,941187,946193,0.0880,1.063,0.0379,1.027,0.0666,1.047,0.0418,1.029
IV,946193,951200,-0.0106,0.993,-0.0726,0.951,-0.0516,0.965,0.0613,1.043
IV,951200,956206,0.0466,1.033,-0.0013,0.999,0.0246,1.017,0.0709,1.050
IV,956206,961212,-0.0199,0.986,-0.0035,0.998,-0.0419,0.971,0.0478,1.034
IV,961212,966219,0.0960,1.069,0.0378,1.027,-0.0596,0.960,0.0685,1.049
IV,966219,971225,0.0131,1.009,-0.1396,0.908,-0.0809,0.945,-0.0644,0.956
IV,971225,976231,0.0135,1.009,-0.0697,0.953,-0.0850,0.943,0.0517,1.036
IV,976231,981238,0.0989,1.071,0.0217,1.015,-0.0379,0.974,-0.0222,0.985
IV,981238,986244,0.4830,1.398,0.3713,1.294,0.4035,1.323,-0.0565,0.962
IV,986244,991250,0.8064,1.749,0.6833,1.606,0.7372,1.667,0.3956,1.316
IV,991250,996257,0.1260,1.091,0.1349,1.098,0.1185,1.086,0.1173,1.085
IV,996257,1001263,0.0659,1.047,0.0449,1.032,0.0858,1.061,-0.0683,0.954
IV,1001263,1006269,0.0983,1.071,0.1169,1.084,0.1496,1.109,-0.0768,0.948
IV,1006269,1011276,-0.0771,0.948,-0.0977,0.935,-0.0707,0.952,0.0158,1.011
IV,1011276,1016282,-0.1171,0.922,-0.1135,0.924,-0.0953,0.936,-0.0249,0.983
IV,1016282,1021288,-0.0435,0.970,-0.0106,0.993,-0.1041,0.930,-0.0528,0.964
IV,1021288,1026294,0.1503,1.110,0.0831,1.059,0.0859,1.061,0.0410,1.029
IV,1026294,1031301,0.1845,1.136,0.1364,1.099,0.1883,1.139,0.0019,1.001
IV,1031301,1036307,-0.0230,0.984,-0.0794,0.946,0.0372,1.026,-0.0409,0.972
IV,1036307,1041313,0.1122,1.081,0.0501,1.035,0.0687,1.049,-0.0298,0.980
IV,1041313,1046320,0.0208,1.015,-0.0478,0.967,-0.0510,0.965,-0.0506,0.966
IV,1046320,1051326,-0.0646,0.956,-0.0977,0.935,-0.0351,0.976,0.0338,1.024
IV,1051326,1056332,-0.0603,0.959,-0.0711,0.952,-0.1533,0.899,0.0265,1.019
IV,1056332,1061339,-0.0407,0.972,-0.0984,0.934,-0.0233,0.984,-0.0088,0.994
IV,1061339,1066345,0.2103,1.157,0.1328,1.096,0.2239,1.168,-0.0312,0.979
IV,1066345,1071351,-0.0717,0.952,-0.0492,0.966,-0.0670,0.955,-0.0803,0.946
IV,1071351,1076358,0.0559,1.040,-0.0509,0.965,0.0037,1.003,0.0334,1.023
IV,1076358,1081364,-0.1124,0.925,-0.1558,0.898,-0.2274,0.854,-0.0504,0.966
IV,1081364,1086370,-0.0819,0.945,-0.1572,0.897,-0.0599,0.959,-0.0285,0.980
IV,1086370,1091377,0.0263,1.018,0.0292,1.020,-0.0045,0.997,-0.0209,0.986
IV,1091377,1096383,0.0377,1.026,-0.0123,0.992,-0.1409,0.907,0.0000,1.000
IV,1096383,1101389,0.7842,1.722,0.6588,1.579,0.7128,1.639,0.3617,1.285
IV,1101389,1106396,-0.1981,0.872,-0.1700,0.889,-0.2382,0.848,-0.0836,0.944
IV,1106396,1111402,-0.0892,0.940,-0.1083,0.928,-0.0477,0.967,-0.1073,0.928
IV,1111402,1116408,0.1360,1.099,0.1197,1.086,0.0816,1.058,0.0000,1.000
IV,1116408,1121415,-0.0143,0.990,-0.0403,0.972,0.0407,1.029,-0.0402,0.973
IV,1121415,1126421,0.0669,1.047,0.0163,1.011,0.0206,1.014,0.1371,1.100
IV,1126421,1131427,0.1475,1.108,0.1584,1.116,0.2494,1.189,0.0288,1.020
IV,1131427,1136433,0.0563,1.040,0.0319,1.022,0.0891,1.064,0.0160,1.011
IV,1136433,1141440,-0.1190,0.921,-0.0965,0.935,-0.0007,1.000,0.0447,1.032
IV,1141440,1146446,0.1133,1.082,0.1859,1.138,0.1842,1.136,-0.0029,0.998
IV,1146446,1151452,-0.0127,0.991,-0.0278,0.981,-0.0126,0.991,-0.0795,0.946
IV,1151452,1156459,-0.1974,0.872,-0.2138,0.862,-0.0389,0.973,-0.0100,0.993
IV,1156459,1161465,-0.1288,0.915,-0.1352,0.911,-0.0622,0.958,-0.1182,0.921
IV,1161465,1166471,-0.1328,0.912,-0.1039,0.931,-0.0626,0.958,0.0114,1.008
IV,1166471,1171478,-0.0053,0.996,-0.0402,0.973,-0.0007,1.000,-0.0157,0.989
IV,1171478,1176484,0.1832,1.135,0.1568,1.115,0.1321,1.096,-0.0413,0.972
IV,1176484,1181490,0.0421,1.030,0.0296,1.021,0.1290,1.094,0.0179,1.012
IV,1181490,1186497,0.0825,1.059,0.0288,1.020,0.0828,1.059,0.0596,1.042
IV,1186497,1191503,-0.1253,0.917,-0.1548,0.898,-0.0183,0.987,-0.0520,0.965
IV,1191503,1196509,-0.1274,0.915,-0.1097,0.927,-0.1336,0.912,-0.0226,0.984
IV,1196509,1201516,0.0661,1.047,0.0141,1.010,0.0081,1.006,0.0448,1.032
IV,1201516,1206522,-0.2135,0.862,-0.2504,0.841,-0.1892,0.877,0.0635,1.045
IV,1206522,1211528,0.8034,1.745,0.7074,1.633,0.7078,1.633,0.4412,1.358
IV,1211528,1216535,0.1843,1.136,0.1848,1.137,0.1400,1.102,0.0235,1.016
IV,1216535,1221541,0.0835,1.060,0.0316,1.022,0.0445,1.031,-0.1278,0.915
IV,1221541,1226547,-0.1207,0.920,-0.1135,0.924,-0.0689,0.953,-0.0322,0.978
IV,1226547,1231553,0.0015,1.001,-0.0035,0.998,0.0402,1.028,0.0174,1.012
IV,1231553,1236560,-0.0021,0.999,-0.0532,0.964,-0.0544,0.963,-0.0317,0.978
IV,1236560,1241566,-0.2368,0.849,-0.3049,0.810,-0.3665,0.776,-0.0383,0.974
IV,1241566,1246572,-0.3487,0.785,-0.2606,0.835,-0.2371,0.848,0.0350,1.025
IV,1246572,1251579,0.0677,1.048,0.0919,1.066,0.0810,1.058,0.0275,1.019
IV,1251579,1256585,-0.1610,0.894,-0.0411,0.972,-0.1471,0.903,-0.0215,0.985
IV,1256585,1261591,-0.0428,0.971,-0.0493,0.966,-0.1107,0.926,0.0493,1.035
IV,1261591,1266598,0.0296,1.021,0.0698,1.050,0.0451,1.032,0.0235,1.016
IV,1266598,1271604,-0.0176,0.988,0.0646,1.046,-0.0579,0.961,0.0143,1.010
IV,1271604,1276610,-0.2235,0.856,-0.1749,0.886,-0.1660,0.891,-0.1166,0.922
IV,1276610,1281617,-1.1779,0.442,-1.0409,0.486,-1.1630,0.447,-0.8447,0.557
IV,1281617,1286623,-1.0466,0.484,-0.8798,0.543,-1.0620,0.479,-0.8614,0.550
IV,1286623,1291629,0.0595,1.042,0.0587,1.042,0.0825,1.059,0.0215,1.015
IV,1291629,1296636,0.1370,1.100,0.1365,1.099,0.0718,1.051,-0.0287,0.980
IV,1296636,1301642,0.0579,1.041,0.0300,1.021,0.0360,1.025,-0.0754,0.949
IV,1301642,1306648,-0.3457,0.787,-0.1876,0.878,-0.3449,0.787,-0.0358,0.976
IV,1306648,1311655,0.1472,1.107,0.1825,1.135,0.1879,1.139,-0.0069,0.995
IV,1311655,1316661,0.0358,1.025,0.1027,1.074,0.1016,1.073,0.0928,1.066
IV,1316661,1321667,0.0427,1.030,-0.0008,0.999,0.0235,1.016,-0.1191,0.921
IV,1321667,1326674,0.1925,1.143,0.1131,1.082,0.1884,1.139,-0.0005,1.000
IV,1326674,1331680,-0.0528,0.964,0.0510,1.036,-0.0377,0.974,0.0794,1.057
IV,1331680,1336686,-0.1034,0.931,0.0070,1.005,-0.0101,0.993,-0.0098,0.993
IV,1336686,1341692,0.0218,1.015,-0.0147,0.990,-0.0905,0.939,0.0379,1.027
IV,1341692,1346699,-0.0276,0.981,0.0164,1.011,-0.0098,0.993,0.0196,1.014
IV,1346699,1351705,-0.0063,0.996,0.0525,1.037,-0.0621,0.958,-0.0754,0.949
IV,1351705,1356711,-0.2096,0.865,-0.1571,0.897,-0.2781,0.825,-0.0185,0.987
IV,1356711,1361718,-0.0688,0.953,-0.0119,0.992,-0.0007,1.000,-0.0625,0.958
IV,1361718,1366724,-0.1043,0.930,0.0043,1.003,-0.0620,0.958,-0.0862,0.942
IV,1366724,1371730,-0.0877,0.941,0.0451,1.032,-0.0856,0.942,0.0527,1.037
IV,1371730,1376737,0.1447,1.105,0.1260,1.091,0.1335,1.097,0.0768,1.055
IV,1376737,1381743,-0.1290,0.914,-0.0260,0.982,0.0426,1.030,0.0899,1.064
IV,1381743,1386749,0.0612,1.043,0.1580,1.116,0.0724,1.051,-0.0394,0.973
IV,1386749,1391756,-0.1937,0.874,-0.1035,0.931,-0.1072,0.928,-0.0374,0.974
IV,1391756,1396762,-0.0020,0.999,0.0640,1.045,0.0571,1.040,0.0000,1.000
IV,1396762,1401768,0.1558,1.114,0.2164,1.162,0.1727,1.127,0.0061,1.004
IV,1401768,1406775,-0.1145,0.924,-0.1106,0.926,-0.0985,0.934,0.0066,1.005
IV,1406775,1411781,-0.1682,0.890,0.0164,1.011,-0.0199,0.986,-0.0253,0.983
IV,1411781,1416787,0.0117,1.008,0.0326,1.023,-0.0007,1.000,-0.0706,0.952
IV,1416787,1421794,-0.0513,0.965,0.0765,1.054,0.0144,1.010,-0.0510,0.965
IV,1421794,1426800,-0.0953,0.936,-0.0523,0.964,-0.1601,0.895,0.0000,1.000
IV,1426800,1431806,-0.0611,0.959,0.0471,1.033,-0.0224,0.985,0.0015,1.001
IV,1431806,1436812,-0.0606,0.959,-0.0024,0.998,-0.0889,0.940,-0.0386,0.974
IV,1436812,1441819,-0.0781,0.947,-0.0397,0.973,-0.0618,0.958,0.0096,1.007
IV,1441819,1446825,0.0617,1.044,0.0257,1.018,0.0501,1.035,0.0604,1.043
IV,1446825,1451831,-0.1415,0.907,-0.0035,0.998,-0.2562,0.837,-0.0286,0.980
IV,1451831,1456838,0.0221,1.015,-0.0363,0.975,-0.0403,0.972,0.0645,1.046
IV,1456838,1461844,0.0939,1.067,0.0703,1.050,-0.0636,0.957,-0.0260,0.982
IV,1461844,1466850,-0.0318,0.978,-0.0315,0.978,-0.1179,0.922,0.0000,1.000
IV,1466850,1471857,-0.0270,0.981,-0.0023,0.998,-0.0326,0.978,-0.0754,0.949
IV,1471857,1476863,0.1432,1.104,0.0264,1.018,0.0212,1.015,-0.0061,0.996
IV,1476863,1481869,-0.1354,0.910,-0.1332,0.912,-0.1937,0.874,0.0025,1.002
IV,1481869,1486876,-0.0076,0.995,0.0355,1.025,-0.0607,0.959,0.0186,1.013
IV,1486876,1491882,-0.2107,0.864,-0.2497,0.841,-0.2712,0.829,0.0200,1.014
IV,1491882,1496888,0.2541,1.193,0.0366,1.026,0.0176,1.012,0.0472,1.033
IV,1496888,1501895,-0.0705,0.952,-0.1558,0.898,-0.1394,0.908,-0.0254,0.983
IV,1501895,1506901,0.2085,1.155,-0.0025,0.998,0.0175,1.012,-0.0182,0.987
IV,1506901,1511907,0.1156,1.083,-0.1197,0.920,0.0317,1.022,-0.0092,0.994
IV,1511907,1516914,0.5431,1.457,0.2403,1.181,0.3209,1.249,0.0493,1.035
IV,1516914,1521920,0.3621,1.285,0.0805,1.057,0.2071,1.154,0.0000,1.000
IV,1521920,1526926,0.7534,1.686,0.5327,1.447,0.3739,1.296,0.3596,1.283
IV,1526926,1531933,0.8679,1.825,0.8971,1.862,0.7981,1.739,0.8114,1.755
IX,0,4998,0.1757,1.130,0.2268,1.170,0.0959,1.069,0.0638,1.045
IX,4998,9997,0.3975,1.317,0.2424,1.183,0.1019,1.073,0.0209,1.015
IX,9997,14996,0.3668,1.290,0.1358,1.099,0.1157,1.083,0.0000,1.000
IX,14996,19994,0.2518,1.191,0.0327,1.023,0.0082,1.006,-0.0418,0.971
IX,19994,24993,0.2774,1.212,-0.0222,0.985,-0.0007,1.000,-0.2195,0.859
IX,24993,29992,0.2310,1.174,-0.0243,0.983,0.1201,1.087,0.0695,1.049
IX,29992,34991,0.2834,1.217,0.0294,1.021,-0.0363,0.975,-0.0273,0.981
IX,34991,39989,0.0833,1.059,-0.0583,0.960,0.0492,1.035,0.0041,1.003
IX,39989,44988,-0.2488,0.842,-0.4041,0.756,-0.4378,0.738,-0.0664,0.955
IX,44988,49987,0.1930,1.143,0.0509,1.036,-0.0007,1.000,-0.0311,0.979
IX,49987,54986,0.0113,1.008,-0.0738,0.950,-0.0319,0.978,-0.1891,0.877
IX,54986,59984,0.0773,1.055,0.0283,1.020,-0.0548,0.963,-0.0119,0.992
IX,59984,64983,-0.1141,0.924,-0.1917,0.876,-0.1276,0.915,-0.0343,0.976
IX,64983,69982,-0.1900,0.877,-0.2789,0.824,-0.1890,0.877,-0.0417,0.972
IX,69982,74980,0.0497,1.035,-0.0405,0.972,0.0041,1.003,-0.0362,0.975
IX,74980,79979,0.1085,1.078,-0.0011,0.999,-0.0406,0.972,-0.0719,0.951
IX,79979,84978,-0.0868,0.942,-0.0733,0.950,-0.0719,0.951,-0.0336,0.977
IX,84978,89977,0.0831,1.059,-0.0179,0.988,-0.0344,0.976,-0.0238,0.984
IX,89977,94975,-0.0145,0.990,-0.0558,0.962,-0.0644,0.956,0.0063,1.004
IX,94975,99974,-0.0451,0.969,-0.0519,0.965,-0.1398,0.908,-0.0040,0.997
IX,99974,104973,0.1022,1.073,0.0466,1.033,0.0383,1.027,0.0280,1.020
IX,104973,109972,0.0551,1.039,0.1311,1.095,0.1191,1.086,-0.0656,0.956
IX,109972,114970,-0.1704,0.889,-0.0668,0.955,-0.1159,0.923,0.0276,1.019
IX,114970,119969,-0.0997,0.933,-0.0035,0.998,-0.0499,0.966,0.1328,1.096
IX,119969,124968,-0.0967,0.935,-0.0406,0.972,-0.0007,1.000,0.0105,1.007
IX,124968,129966,-0.1157,0.923,-0.0381,0.974,-0.0824,0.944,0.0009,1.001
IX,129966,134965,-0.1480,0.902,-0.0818,0.945,-0.1758,0.885,-0.0452,0.969
IX,134965,139964,-0.4090,0.753,-0.2784,0.824,-0.2929,0.816,-0.1108,0.926
IX,139964,144963,-0.0706,0.952,0.0095,1.007,-0.0281,0.981,0.0202,1.014
IX,144963,149961,-0.3042,0.810,-0.2348,0.850,-0.2067,0.867,0.0361,1.025
IX,149961,154960,-0.1607,0.895,-0.0615,0.958,-0.0982,0.934,-0.0439,0.970
IX,154960,159959,-0.0026,0.998,-0.0025,0.998,-0.0198,0.986,-0.0116,0.992
IX,159959,164958,-0.0137,0.991,-0.0270,0.981,-0.0392,0.973,-0.1263,0.916
IX,164958,169956,-0.1869,0.878,-0.0523,0.964,-0.1003,0.933,-0.0549,0.963
IX,169956,174955,0.2270,1.170,0.2191,1.164,0.2174,1.163,-0.0259,0.982
IX,174955,179954,-0.3165,0.803,-0.1751,0.886,-0.2000,0.871,-0.0699,0.953
IX,179954,184952,0.0026,1.002,0.0702,1.050,0.0337,1.024,0.0172,1.012
IX,184952,189951,0.0015,1.001,0.0762,1.054,0.0792,1.056,0.0149,1.010
IX,189951,194950,0.0620,1.044,0.1219,1.088,0.1301,1.094,0.0163,1.011
IX,194950,199949,0.1065,1.077,0.1700,1.125,0.1088,1.078,-0.0169,0.988
IX,199949,204947,-0.0862,0.942,0.0099,1.007,0.0276,1.019,0.0209,1.015
IX,204947,209946,0.2505,1.190,0.2366,1.178,0.2608,1.198,-0.0123,0.991
IX,209946,214945,-0.1364,0.910,-0.0598,0.959,-0.0274,0.981,0.0206,1.014
IX,214945,219944,-0.0537,0.963,-0.0199,0.986,0.0079,1.006,-0.0106,0.993
IX,219944,224942,0.1188,1.086,0.1183,1.085,0.2371,1.179,0.0000,1.000
